This Bulk Download report is of cdrpl sp. (cdrplsp@gmail.com) from _______Dataroom Vizcom
Index,Name,Size(in MB),Date Time,Path,Download Status
2.2.0.2,17.3.0.25 istockphoto-1419410282-1024x1024.jpg,0.175,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/17.3.0.25 istockphoto-1419410282-1024x1024.jpg,Success
2.2.0.3,17.3.0.24 istockphoto-1072462590-1024x1024.jpg,0.111,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/17.3.0.24 istockphoto-1072462590-1024x1024.jpg,Success
2.2.0.4,17.3.0.23 graphics-603272_640.jpg,0.137,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/17.3.0.23 graphics-603272_640.jpg,Success
2.2.0.5,17.3.0.22 graffiti-3274744_640.jpg,0.133,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/17.3.0.22 graffiti-3274744_640.jpg,Success
2.2.0.6,17.3.0.21 graffiti-623003_640.jpg,0.168,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/17.3.0.21 graffiti-623003_640.jpg,Success
2.2.0.7,17.3.0.20 graffiti-508272_1280.jpg,0.469,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.20 graffiti-508272_1280.jpg,Success
2.2.0.8,17.3.0.19 flowers-276014_1280.jpg,0.353,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.19 flowers-276014_1280.jpg,Success
2.2.0.9,17.3.0.18 graffiti-508272_1280 (1).jpg,0.469,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.18 graffiti-508272_1280 (1).jpg,Success
2.2.0.10,17.3.0.17 coca-cola-736967_640.jpg,0.179,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.17 coca-cola-736967_640.jpg,Success
2.2.0.11,17.3.0.16 yoga.png,0.012,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.16 yoga.png,Success
2.2.0.12,17.3.0.15 oncology.png,0.014,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.15 oncology.png,Success
2.2.0.13,17.3.0.14 Gynecology.png,0.012,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.14 Gynecology.png,Success
2.2.0.14,17.3.0.13 Alternative Therapies.png,0.02,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.13 Alternative Therapies.png,Success
2.2.0.15,17.3.0.12 wellness.png,0.02,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.12 wellness.png,Success
2.2.0.16,17.3.0.10 knee-replacement.png,0.019,09-09-2024 17:15:55,Vizcom/Sample folder/bbb/17.3.0.10 knee-replacement.png,Success
2.2.0.17,17.3.0.9 hip-replacement.png,0.022,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.9 hip-replacement.png,Success
2.2.0.18,17.3.0.8 herbal-treatment.png,0.014,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.8 herbal-treatment.png,Success
2.2.0.19,17.3.0.7 Cardiovascular.png,0.032,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.7 Cardiovascular.png,Success
2.2.0.20,17.3.0.11 Organ Transplant.png,0.017,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.11 Organ Transplant.png,Success
2.2.0.21,17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,3.627,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,Success
2.2.0.22,17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,0.032,09-09-2024 17:15:56,Vizcom/Sample folder/bbb/17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,Success
2.2.0.23,17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,0.53,09-09-2024 17:15:57,Vizcom/Sample folder/bbb/17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,Success
2.0.4,49.0.20Sample pdf file.pdf,0.084,09-09-2024 17:15:57,Vizcom/Sample folder/49.0.20Sample pdf file.pdf,Success
2.0.5,49.0.21Sample ppt file.pptx,0.059,09-09-2024 17:15:58,Vizcom/Sample folder/49.0.21Sample ppt file.pptx,Success
2.0.6,Sample word file.docx,0.013,09-09-2024 17:15:58,Vizcom/Sample folder/Sample word file.docx,Success
2.0.1,4.0.13_4.0.7_file_example_TIFF_10MB__(2).tiff,9.681,09-09-2024 17:15:54,Vizcom/Sample folder/4.0.13_4.0.7_file_example_TIFF_10MB__(2).tiff,Fail
2.1.0.1,download (2).jpg,0.006,09-09-2024 17:15:54,Vizcom/Sample folder/new2/download (2).jpg,Fail
2.2.0.1,1 Demo PDF File (1).pdf,0.022,09-09-2024 17:15:54,Vizcom/Sample folder/bbb/1 Demo PDF File (1).pdf,Fail
2.0.2,4.0.15_nature.jpg,0.255,09-09-2024 17:15:57,Vizcom/Sample folder/4.0.15_nature.jpg,Fail
2.0.3,._4.1.0.4_4.0.2_file-sample_1MB.doc,0.004,09-09-2024 17:15:57,Vizcom/Sample folder/._4.1.0.4_4.0.2_file-sample_1MB.doc,Fail
