Index,Name,Type,Size(in MB),Date Uploaded,Path
1,try one,Folder,0,2022-12-07 18:40:12 GST,try one
1.1,5.1 1.1 New folder T,Folder,0,2022-12-07 18:53:07 GST,try one/5.1 1.1 New folder T
1.1.0.1,1.1.0.1 maintanance.png,File,0.144,2022-12-07 18:53:07 GST,try one/5.1 1.1 New folder T/1.1.0.1 maintanance.png
1.2,5.2 1.2 testtwofolder,Folder,0,2022-12-07 18:53:08 GST,try one/5.2 1.2 testtwofolder
1.2.0.1,1.2.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc,File,0.981,2022-12-07 18:53:09 GST,try one/5.2 1.2 testtwofolder/1.2.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc
1.2.0.2,1.2.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc,File,0.981,2022-12-07 18:53:14 GST,try one/5.2 1.2 testtwofolder/1.2.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc
1.2.0.3,1.2.0.3 6.0.2file-sample_1MB_5459oQc.doc,File,0.981,2022-12-07 18:53:19 GST,try one/5.2 1.2 testtwofolder/1.2.0.3 6.0.2file-sample_1MB_5459oQc.doc
1.2.0.4,1.2.0.4 DocullyVDR Documentation - Copy (2).pdf,File,0.165,2022-12-07 18:53:24 GST,try one/5.2 1.2 testtwofolder/1.2.0.4 DocullyVDR Documentation - Copy (2).pdf
1.2.0.5,1.2.0.5 DocullyVDR Documentation - Copy.pdf,File,0.165,2022-12-07 18:53:26 GST,try one/5.2 1.2 testtwofolder/1.2.0.5 DocullyVDR Documentation - Copy.pdf
1.2.0.6,1.2.0.6 DocullyVDR Documentation.pdf,File,0.165,2022-12-07 18:53:29 GST,try one/5.2 1.2 testtwofolder/1.2.0.6 DocullyVDR Documentation.pdf
1.2.0.7,1.2.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx,File,0.008,2022-12-07 18:53:31 GST,try one/5.2 1.2 testtwofolder/1.2.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx
1.2.0.8,1.2.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx,File,0.008,2022-12-07 18:53:35 GST,try one/5.2 1.2 testtwofolder/1.2.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx
1.2.0.9,1.2.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx,File,0.008,2022-12-07 18:53:38 GST,try one/5.2 1.2 testtwofolder/1.2.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx
1.2.0.10,1.2.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx,File,0.008,2022-12-07 18:53:42 GST,try one/5.2 1.2 testtwofolder/1.2.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx
1.2.0.11,1.2.0.11 New Microsoft Office Excel Worksheet.xlsx,File,0.008,2022-12-07 18:53:46 GST,try one/5.2 1.2 testtwofolder/1.2.0.11 New Microsoft Office Excel Worksheet.xlsx
1.2.0.12,1.2.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx,File,0.033,2022-12-07 18:53:50 GST,try one/5.2 1.2 testtwofolder/1.2.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx
1.2.0.13,1.2.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx,File,0.033,2022-12-07 18:53:54 GST,try one/5.2 1.2 testtwofolder/1.2.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx
1.2.0.14,1.2.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx,File,0.033,2022-12-07 18:53:57 GST,try one/5.2 1.2 testtwofolder/1.2.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx
1.2.0.15,1.2.0.15 New Microsoft Office PowerPoint Presentation.pptx,File,0.033,2022-12-07 18:54:02 GST,try one/5.2 1.2 testtwofolder/1.2.0.15 New Microsoft Office PowerPoint Presentation.pptx
1.2.0.16,1.2.0.16 t - Copy.png,File,0.005,2022-12-07 18:54:05 GST,try one/5.2 1.2 testtwofolder/1.2.0.16 t - Copy.png
1.2.0.17,1.2.0.17 updatefileflag.png,File,0.009,2022-12-07 18:54:07 GST,try one/5.2 1.2 testtwofolder/1.2.0.17 updatefileflag.png
1.2.0.18,1.2.0.18 upload-25jan.zip,File,7.258,2022-12-07 18:54:09 GST,try one/5.2 1.2 testtwofolder/1.2.0.18 upload-25jan.zip
1.3,5.3 1.3 testonefolder,Folder,0,2022-12-07 18:54:10 GST,try one/5.3 1.3 testonefolder
1.3.0.1,1.3.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc,File,0.981,2022-12-07 18:54:10 GST,try one/5.3 1.3 testonefolder/1.3.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc
1.3.0.2,1.3.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc,File,0.981,2022-12-07 18:54:15 GST,try one/5.3 1.3 testonefolder/1.3.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc
1.3.0.3,1.3.0.3 6.0.2file-sample_1MB_5459oQc.doc,File,0.981,2022-12-07 18:54:20 GST,try one/5.3 1.3 testonefolder/1.3.0.3 6.0.2file-sample_1MB_5459oQc.doc
1.3.0.4,1.3.0.4 DocullyVDR Documentation - Copy (2).pdf,File,0.165,2022-12-07 18:54:25 GST,try one/5.3 1.3 testonefolder/1.3.0.4 DocullyVDR Documentation - Copy (2).pdf
1.3.0.5,1.3.0.5 DocullyVDR Documentation - Copy.pdf,File,0.165,2022-12-07 18:54:27 GST,try one/5.3 1.3 testonefolder/1.3.0.5 DocullyVDR Documentation - Copy.pdf
1.3.0.6,1.3.0.6 DocullyVDR Documentation.pdf,File,0.165,2022-12-07 18:54:30 GST,try one/5.3 1.3 testonefolder/1.3.0.6 DocullyVDR Documentation.pdf
1.3.0.7,1.3.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx,File,0.008,2022-12-07 18:54:32 GST,try one/5.3 1.3 testonefolder/1.3.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx
1.3.0.8,1.3.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx,File,0.008,2022-12-07 18:54:36 GST,try one/5.3 1.3 testonefolder/1.3.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx
1.3.0.9,1.3.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx,File,0.008,2022-12-07 18:54:40 GST,try one/5.3 1.3 testonefolder/1.3.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx
1.3.0.10,1.3.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx,File,0.008,2022-12-07 18:54:44 GST,try one/5.3 1.3 testonefolder/1.3.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx
1.3.0.11,1.3.0.11 New Microsoft Office Excel Worksheet.xlsx,File,0.008,2022-12-07 18:54:48 GST,try one/5.3 1.3 testonefolder/1.3.0.11 New Microsoft Office Excel Worksheet.xlsx
1.3.0.12,1.3.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx,File,0.033,2022-12-07 18:54:52 GST,try one/5.3 1.3 testonefolder/1.3.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx
1.3.0.13,1.3.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx,File,0.033,2022-12-07 18:54:56 GST,try one/5.3 1.3 testonefolder/1.3.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx
1.3.0.14,1.3.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx,File,0.033,2022-12-07 18:55:00 GST,try one/5.3 1.3 testonefolder/1.3.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx
1.3.0.15,1.3.0.15 New Microsoft Office PowerPoint Presentation.pptx,File,0.033,2022-12-07 18:55:04 GST,try one/5.3 1.3 testonefolder/1.3.0.15 New Microsoft Office PowerPoint Presentation.pptx
1.3.0.16,1.3.0.16 t - Copy.png,File,0.005,2022-12-07 18:55:08 GST,try one/5.3 1.3 testonefolder/1.3.0.16 t - Copy.png
1.3.0.17,1.3.0.17 updatefileflag.png,File,0.009,2022-12-07 18:55:09 GST,try one/5.3 1.3 testonefolder/1.3.0.17 updatefileflag.png
1.3.0.18,1.3.0.18 upload-25jan.zip,File,7.258,2022-12-07 18:55:11 GST,try one/5.3 1.3 testonefolder/1.3.0.18 upload-25jan.zip
1.4,5.4 1.4 testthreefolder,Folder,0,2022-12-07 18:55:12 GST,try one/5.4 1.4 testthreefolder
1.4.0.1,1.4.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc,File,0.981,2022-12-07 18:55:12 GST,try one/5.4 1.4 testthreefolder/1.4.0.1 6.0.2file-sample_1MB_5459oQc - Copy (2).doc
1.4.0.2,1.4.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc,File,0.981,2022-12-07 18:55:17 GST,try one/5.4 1.4 testthreefolder/1.4.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc
1.4.0.3,1.4.0.3 6.0.2file-sample_1MB_5459oQc.doc,File,0.981,2022-12-07 18:55:22 GST,try one/5.4 1.4 testthreefolder/1.4.0.3 6.0.2file-sample_1MB_5459oQc.doc
1.4.0.4,1.4.0.4 DocullyVDR Documentation - Copy (2).pdf,File,0.165,2022-12-07 18:55:27 GST,try one/5.4 1.4 testthreefolder/1.4.0.4 DocullyVDR Documentation - Copy (2).pdf
1.4.0.5,1.4.0.5 DocullyVDR Documentation - Copy.pdf,File,0.165,2022-12-07 18:55:30 GST,try one/5.4 1.4 testthreefolder/1.4.0.5 DocullyVDR Documentation - Copy.pdf
1.4.0.6,1.4.0.6 DocullyVDR Documentation.pdf,File,0.165,2022-12-07 18:55:32 GST,try one/5.4 1.4 testthreefolder/1.4.0.6 DocullyVDR Documentation.pdf
1.4.0.7,1.4.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx,File,0.008,2022-12-07 18:55:35 GST,try one/5.4 1.4 testthreefolder/1.4.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx
1.4.0.8,1.4.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx,File,0.008,2022-12-07 18:55:39 GST,try one/5.4 1.4 testthreefolder/1.4.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx
1.4.0.9,1.4.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx,File,0.008,2022-12-07 18:55:43 GST,try one/5.4 1.4 testthreefolder/1.4.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx
1.4.0.10,1.4.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx,File,0.008,2022-12-07 18:55:47 GST,try one/5.4 1.4 testthreefolder/1.4.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx
1.4.0.11,1.4.0.11 New Microsoft Office Excel Worksheet.xlsx,File,0.008,2022-12-07 18:55:51 GST,try one/5.4 1.4 testthreefolder/1.4.0.11 New Microsoft Office Excel Worksheet.xlsx
1.4.0.12,1.4.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx,File,0.033,2022-12-07 18:55:55 GST,try one/5.4 1.4 testthreefolder/1.4.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx
1.4.0.13,1.4.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx,File,0.033,2022-12-07 18:55:59 GST,try one/5.4 1.4 testthreefolder/1.4.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx
1.4.0.14,1.4.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx,File,0.033,2022-12-07 18:56:03 GST,try one/5.4 1.4 testthreefolder/1.4.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx
1.4.0.15,1.4.0.15 New Microsoft Office PowerPoint Presentation.pptx,File,0.033,2022-12-07 18:56:07 GST,try one/5.4 1.4 testthreefolder/1.4.0.15 New Microsoft Office PowerPoint Presentation.pptx
1.4.0.16,1.4.0.16 t - Copy.png,File,0.005,2022-12-07 18:56:11 GST,try one/5.4 1.4 testthreefolder/1.4.0.16 t - Copy.png
1.4.0.17,1.4.0.17 updatefileflag.png,File,0.009,2022-12-07 18:56:13 GST,try one/5.4 1.4 testthreefolder/1.4.0.17 updatefileflag.png
1.4.0.18,1.4.0.18 upload-25jan.zip,File,7.258,2022-12-07 18:56:14 GST,try one/5.4 1.4 testthreefolder/1.4.0.18 upload-25jan.zip
1.5,5.5 1.5 Basic,Folder,0,2022-12-07 18:56:15 GST,try one/5.5 1.5 Basic
1.5.1,9 sp-testing-purpose-only-20221661353508,Folder,0,2022-12-07 18:59:12 GST,try one/5.5 1.5 Basic/9 sp-testing-purpose-only-20221661353508
1.5.1.1,9.1 2 New folder (3),Folder,0,2022-12-07 18:59:12 GST,try one/5.5 1.5 Basic/9 sp-testing-purpose-only-20221661353508/9.1 2 New folder (3)
1.5.1.1.0.1,3.5.2.0.1 1 Microsoft PowerPoint Presentation-Demo.pptx,File,0.075,2022-12-07 18:59:12 GST,try one/5.5 1.5 Basic/9 sp-testing-purpose-only-20221661353508/9.1 2 New folder (3)/3.5.2.0.1 1 Microsoft PowerPoint Presentation-Demo.pptx
1.5.1.1.0.2,3.5.2.0.2 2 Text Document-Demo.txt,File,0.0,2022-12-07 18:59:16 GST,try one/5.5 1.5 Basic/9 sp-testing-purpose-only-20221661353508/9.1 2 New folder (3)/3.5.2.0.2 2 Text Document-Demo.txt
1.5.1.1.0.3,3.5.2.0.3 3 Microsoft Excel Worksheet-Demo.csv,File,0.001,2022-12-07 18:59:20 GST,try one/5.5 1.5 Basic/9 sp-testing-purpose-only-20221661353508/9.1 2 New folder (3)/3.5.2.0.3 3 Microsoft Excel Worksheet-Demo.csv
