Index,Name,Type,Size(in MB),Date Uploaded,Path
1,excel with diagram,Folder,0,2024-01-11 16:25:46 GST,excel with diagram
1.0.1,9424023-excel with hyper link _ diagram.xlsx,File,0.017,2024-01-11 16:26:03 GST,excel with diagram/9424023-excel with hyper link _ diagram.xlsx
1.0.2,48.0.19424023-excel_with_hyper_link___diagram.xlsx,File,0.037,2024-01-11 16:51:23 GST,excel with diagram/48.0.19424023-excel_with_hyper_link___diagram.xlsx
2,Non Compatible on Platform,Folder,0,2024-03-07 10:43:43 GST,Non Compatible on Platform
2.0.1,2023 CDR CS Team only-20230506T083658Z-001.zip,File,1.323,2024-03-07 10:45:30 GST,Non Compatible on Platform/2023 CDR CS Team only-20230506T083658Z-001.zip
2.0.2,10.0.5 2.1.1.0.8 2 Text Document-Demo.txt,File,0.0,2024-03-07 10:46:26 GST,Non Compatible on Platform/10.0.5 2.1.1.0.8 2 Text Document-Demo.txt
2.0.3,New document's uploaded on ProjectVizcom on Docully at 2024-03-07.eml,File,0.023,2024-03-07 11:11:30 GST,Non Compatible on Platform/New document's uploaded on ProjectVizcom on Docully at 2024-03-07.eml
2.0.4,2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.xps,File,0.232,2024-03-07 11:16:30 GST,Non Compatible on Platform/2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.xps
2.0.5,2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.wmf,File,0.062,2024-03-07 11:18:18 GST,Non Compatible on Platform/2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.wmf
2.0.6,2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.potx,File,0.075,2024-03-07 11:20:11 GST,Non Compatible on Platform/2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.potx
2.0.7,2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.tif,File,0.331,2024-03-07 11:20:58 GST,Non Compatible on Platform/2.1.0.1 1 Microsoft PowerPoint Presentation-Demo.tif
2.0.8,sample.msg,File,0.011,2024-03-07 10:30:51 GST,Non Compatible on Platform/sample.msg
