This Bulk Download report is of varun kkkkk (varun.k@axat-tech.com) from _______Dataroom Vizcom
Index,Name,Size(in MB),Date Time,Path,Download Status
1.1.1.0.9,3 Microsoft Excel Worksheet-Demo.csv,0.001,10-09-2024 11:40:25,Vizcom/clienttest1/Sample files/26/3 Microsoft Excel Worksheet-Demo.csv,Success
1.0.2,17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,3.627,10-09-2024 11:40:26,Vizcom/clienttest1/17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,Success
1.0.3,17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,0.032,10-09-2024 11:40:29,Vizcom/clienttest1/17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,Success
1.0.4,17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,0.53,10-09-2024 11:40:30,Vizcom/clienttest1/17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,Success
1.0.5,2.0.3pdf-test.pdf,0.02,10-09-2024 11:40:31,Vizcom/clienttest1/2.0.3pdf-test.pdf,Success
1.0.26,cloud-storage.png,0.024,10-09-2024 11:40:32,Vizcom/clienttest1/cloud-storage.png,Success
1.0.27,logo.png,0.015,10-09-2024 11:40:32,Vizcom/clienttest1/logo.png,Success
1.0.28,new_logo_favicon.png,0.004,10-09-2024 11:40:32,Vizcom/clienttest1/new_logo_favicon.png,Success
2.2.0.2,17.3.0.25 istockphoto-1419410282-1024x1024.jpg,0.175,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.25 istockphoto-1419410282-1024x1024.jpg,Success
2.2.0.3,17.3.0.24 istockphoto-1072462590-1024x1024.jpg,0.111,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.24 istockphoto-1072462590-1024x1024.jpg,Success
2.2.0.4,17.3.0.23 graphics-603272_640.jpg,0.137,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.23 graphics-603272_640.jpg,Success
2.2.0.5,17.3.0.22 graffiti-3274744_640.jpg,0.133,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.22 graffiti-3274744_640.jpg,Success
2.2.0.6,17.3.0.21 graffiti-623003_640.jpg,0.168,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.21 graffiti-623003_640.jpg,Success
2.2.0.7,17.3.0.20 graffiti-508272_1280.jpg,0.469,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.20 graffiti-508272_1280.jpg,Success
2.2.0.8,17.3.0.19 flowers-276014_1280.jpg,0.353,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.19 flowers-276014_1280.jpg,Success
2.2.0.9,17.3.0.18 graffiti-508272_1280 (1).jpg,0.469,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.18 graffiti-508272_1280 (1).jpg,Success
2.2.0.10,17.3.0.17 coca-cola-736967_640.jpg,0.179,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.17 coca-cola-736967_640.jpg,Success
2.2.0.11,17.3.0.16 yoga.png,0.012,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.16 yoga.png,Success
2.2.0.12,17.3.0.15 oncology.png,0.014,10-09-2024 11:40:33,Vizcom/Sample folder/bbb/17.3.0.15 oncology.png,Success
2.2.0.13,17.3.0.14 Gynecology.png,0.012,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.14 Gynecology.png,Success
2.2.0.14,17.3.0.13 Alternative Therapies.png,0.02,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.13 Alternative Therapies.png,Success
2.2.0.15,17.3.0.12 wellness.png,0.02,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.12 wellness.png,Success
2.2.0.16,17.3.0.10 knee-replacement.png,0.019,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.10 knee-replacement.png,Success
2.2.0.17,17.3.0.9 hip-replacement.png,0.022,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.9 hip-replacement.png,Success
2.2.0.18,17.3.0.8 herbal-treatment.png,0.014,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.8 herbal-treatment.png,Success
2.2.0.19,17.3.0.7 Cardiovascular.png,0.032,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.7 Cardiovascular.png,Success
2.2.0.20,17.3.0.11 Organ Transplant.png,0.017,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.11 Organ Transplant.png,Success
2.2.0.21,17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,3.627,10-09-2024 11:40:34,Vizcom/Sample folder/bbb/17.3.0.5 43.0.5 4 Demo Microsoft PowerPoint Presentation.pptx,Success
2.2.0.22,17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,0.032,10-09-2024 11:40:37,Vizcom/Sample folder/bbb/17.3.0.4 43.0.3 3 Demo Microsoft Word Document.docx,Success
2.2.0.23,17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,0.53,10-09-2024 11:40:37,Vizcom/Sample folder/bbb/17.3.0.3 43.0.4 4 Demo Microsoft PowerPoint Presentation pdf.pdf,Success
2.0.4,49.0.20Sample pdf file.pdf,0.084,10-09-2024 11:40:38,Vizcom/Sample folder/49.0.20Sample pdf file.pdf,Success
2.0.5,49.0.21Sample ppt file.pptx,0.059,10-09-2024 11:40:39,Vizcom/Sample folder/49.0.21Sample ppt file.pptx,Success
2.0.6,Sample word file.docx,0.013,10-09-2024 11:40:39,Vizcom/Sample folder/Sample word file.docx,Success
3.0.1,Binary Testing.xlsb,0.065,10-09-2024 11:40:39,Vizcom/5-12 Excel and pdf/Binary Testing.xlsb,Success
3.1.0.1,1 test file.pdf,0.419,10-09-2024 11:40:42,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/1 test file.pdf,Success
3.1.0.2,1.0.1_bh__(2) (1).pptx,0.25,10-09-2024 11:40:42,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/1.0.1_bh__(2) (1).pptx,Success
3.1.0.3,18.0.1 Std. VII English Gramm.Punctuations ws answer key.pdf,0.021,10-09-2024 11:40:43,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/18.0.1 Std. VII English Gramm.Punctuations ws answer key.pdf,Success
3.1.0.4,18.0.2 Std. VII English L-3.3 ws answer key.pdf,0.034,10-09-2024 11:40:43,Vizcom/5-12 Excel and pdf/7 DocullyVDR Demo files/18.0.2 Std. VII English L-3.3 ws answer key.pdf,Success
