This Bulk Download report is of Harvinnder AAAAA (harvinndera@gmail.com) from _______Dataroom Vizcom
Index,Name,Size(in MB),Date Time,Path,Download Status
1.1.0.7,Microsoft Sharepoint Framework - Standalone (free) Use Terms.docx,0.037,19-10-2024 11:32:30,Vizcom/12 bulkuploadone/12.1 New folder T/Microsoft Sharepoint Framework - Standalone (free) Use Terms.docx,Success
1.1.0.8,test.docx,0.037,19-10-2024 11:32:31,Vizcom/12 bulkuploadone/12.1 New folder T/test.docx,Success
1.3.0.1,Issues revised on 23 Aug.xlsx,0.161,19-10-2024 11:32:31,Vizcom/12 bulkuploadone/aaa/Issues revised on 23 Aug.xlsx,Success
1.0.15,46.0.1 9424023-excel with hyper link _ diagram.xlsx,0.017,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/46.0.1 9424023-excel with hyper link _ diagram.xlsx,Success
1.0.16,46.0.2 48.0.19424023-excel_with_hyper_link___diagram.xlsx,0.037,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/46.0.2 48.0.19424023-excel_with_hyper_link___diagram.xlsx,Success
1.0.17,DocullyVDR Brochure & Pricing 2024- Strategic Deals.pdf,6.482,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/DocullyVDR Brochure & Pricing 2024- Strategic Deals.pdf,Success
1.0.18,Sample overview report.csv,0.363,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/Sample overview report.csv,Success
1.0.19,Sample pdf file.pdf,0.084,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/Sample pdf file.pdf,Success
1.0.20,Sample ppt file.pptx,0.059,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/Sample ppt file.pptx,Success
1.0.21,Sample word file.docx,0.013,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/Sample word file.docx,Success
1.0.22,image (1).png,0.151,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/image (1).png,Success
1.0.23,1.0.1 Oly.png,0.792,19-10-2024 11:32:33,Vizcom/12 bulkuploadone/1.0.1 Oly.png,Success
1.0.24,dropbox.png,0.005,19-10-2024 11:32:34,Vizcom/12 bulkuploadone/dropbox.png,Success
1.0.1,12.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc,0.981,19-10-2024 11:32:31,Vizcom/12 bulkuploadone/12.0.2 6.0.2file-sample_1MB_5459oQc - Copy.doc,Fail
1.0.2,12.0.3 6.0.2file-sample_1MB_5459oQc.doc,0.981,19-10-2024 11:32:31,Vizcom/12 bulkuploadone/12.0.3 6.0.2file-sample_1MB_5459oQc.doc,Fail
1.0.3,12.0.4 DocullyVDR Documentation - Copy (2).pdf,0.291,19-10-2024 11:32:31,Vizcom/12 bulkuploadone/12.0.4 DocullyVDR Documentation - Copy (2).pdf,Fail
1.0.4,12.0.5 DocullyVDR Documentation - Copy.pdf,0.291,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.5 DocullyVDR Documentation - Copy.pdf,Fail
1.0.5,12.0.6 DocullyVDR Documentation.pdf,0.291,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.6 DocullyVDR Documentation.pdf,Fail
1.0.6,12.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx,0.008,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.7 New Microsoft Office Excel Worksheet - Copy (2).xlsx,Fail
1.0.7,12.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx,0.008,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.8 New Microsoft Office Excel Worksheet - Copy (3).xlsx,Fail
1.0.8,12.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx,0.008,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.9 New Microsoft Office Excel Worksheet - Copy (4).xlsx,Fail
1.0.9,12.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx,0.008,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.10 New Microsoft Office Excel Worksheet - Copy.xlsx,Fail
1.0.10,12.0.11 New Microsoft Office Excel Worksheet.xlsx,0.008,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.11 New Microsoft Office Excel Worksheet.xlsx,Fail
1.0.11,12.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx,0.033,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.12 New Microsoft Office PowerPoint Presentation - Copy (2).pptx,Fail
1.0.12,12.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx,0.033,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.13 New Microsoft Office PowerPoint Presentation - Copy (3).pptx,Fail
1.0.13,12.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx,0.033,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.14 New Microsoft Office PowerPoint Presentation - Copy.pptx,Fail
1.0.14,12.0.15 New Microsoft Office PowerPoint Presentation.pptx,0.033,19-10-2024 11:32:32,Vizcom/12 bulkuploadone/12.0.15 New Microsoft Office PowerPoint Presentation.pptx,Fail
